# Line with '#' at the begin is comment
# table file may contain number of line as you wana
# first - code of symbol, second translate code of symbol
# codes may be in two forms: decimal and hex
# examples:
# 192 225
# 0x81 226
# 226 0x81
# 0x90 0xfe
# patch for Russia by Dm.Kryukov (dvk@stack.serpukhov.su)
#
163 241
164 243
166 249
167 245
173 173
179 240
180 242
182 248
183 244
189 189
192 238
193 160
194 161
195 230
196 164
197 165
198 228
199 163
200 229
201 168
202 169
203 170
204 171
205 172
206 173
207 174
208 175
209 239
210 224
211 225
212 226
213 227
214 166
215 162
216 236
217 235
218 167
219 232
220 237
221 233
222 231
223 234
224 158
225 128
226 129
227 150
228 132
229 133
230 148
231 131
232 149
233 136
234 137
235 138
236 139
237 140
238 141
239 142
240 143
241 159
242 144
243 145
244 146
245 147
246 134
247 130
248 156
249 155
250 135
251 152
252 157
253 153
254 151
255 154
