# Line with '#' at the begin is comment
# table file may contain number of line as you wana
# first - code of symbol, second translate code of symbol
# codes may be in two forms: decimal and hex
# examples:
# 192 225
# 0x81 226
# 226 0x81
# 0x90 0xfe
# patch for Russia by Dm.Kryukov (dvk@stack.serpukhov.su)
#
163 184
164 186
166 179
167 191
173 180
179 168
180 170
182 178
183 175
189 165
192 254
193 224
194 225
195 246
196 228
197 229
198 244
199 227
200 245
201 232
202 233
203 234
204 235
205 236
206 237
207 238
208 239
209 255
210 240
211 241
212 242
213 243
214 230
215 226
216 252
217 251
218 231
219 248
220 253
221 249
222 247
223 250
224 222
225 192
226 193
227 214
228 196
229 197
230 212
231 195
232 213
233 200
234 201
235 202
236 203
237 204
238 205
239 206
240 207
241 223
242 208
243 209
244 210
245 211
246 198
247 194
248 220
249 219
250 199
251 216
252 221
253 217
254 215
255 218
